framework,seed,training_time,training_tokens_per_sec,final_train_loss,final_val_loss,inference_time
pytorch,212,310.2591068330221,79211.2123665286,1.6779072284698486,1.8581904172897339,25.81121545890346
pytorch,829,317.043800749816,77516.10326988633,1.7051992416381836,1.8940218687057495,21.650448833126575
pytorch,943,320.96746537508443,76568.50818596316,1.6413005590438843,1.8576529026031494,21.85671133408323
pytorch,486,317.51451841555536,77401.18506277411,1.7243599891662598,1.8922117948532104,21.818837374914438
mlx,212,286.1702102920972,85878.95985020592,1.104992357492447,1.5728169918060302,11.852357083000243
mlx,829,297.72852841578424,82544.99537135081,1.1674480420351028,1.5708507907390594,12.130032167304307
mlx,943,292.37984712515026,84055.04087113257,1.1674128407239914,1.5874207872152328,11.816135332919657
mlx,486,288.9836847502738,85042.86330640924,1.1647722023725509,1.553245877623558,11.852941958699375
